"Age","Sex","Total","Now married","Widowed","Divorced","Separated","Never married"
"15–19","Male","10903653","0.9","0.0","0.0","0.1","99.0"
"20–34","Male","34113759","25.7","0.1","2.5","0.9","70.8"
"35–44","Male","20920715","59.5","0.4","9.8","2.2","28.2"
"45–54","Male","20155362","64.1","1.0","15.2","2.5","17.2"
"55–64","Male","20491435","65.3","2.5","17.1","2.1","13.0"
"65+","Male","24044281","68.6","11.0","12.8","1.3","6.2"
"15–19","Female","10449871","1.1","0.0","0.1","0.1","98.7"
"20–34","Female","32933396","32.8","0.2","3.6","1.6","61.8"
"35–44","Female","20994130","61.0","0.9","12.2","3.3","22.7"
"45–54","Female","20707745","62.4","2.5","18.1","3.3","13.7"
"55–64","Female","21976678","60.2","7.2","19.9","2.5","10.2"
"65+","Female","30029747","45.1","31.6","16.2","1.2","6.0"
